French     , English
police     , police
pensais    , thought
demande    , request
car        , because
mettre     , to put
laisse     , leash
eux        , them
chaque     , each
arrivé     , come
bébé       , baby
revoir     , meet again
parle      , speak
compris    , understood
savais     , knew
attention  , Warning
voici      , here is
donner     , give
écoute     , listen
dont       , whose
trouve     , find
perdu      , lost
main       , hand
côté       , side
matin      , morning
suite      , after
vers       , towards
mis        , placed
droit      , law
aujourd'hui, today
mari       , husband
enfin      , finally
parti      , left
dirait     , would say
chérie     , sweetheart
gros       , large
plutôt     , rather
